47916,-22,14,-201
47917,39,23,-305
47918,-21,-16,-196
47919,-11,-78,-143
47920,19,-50,-339
47921,-14,64,-278
47922,-41,95,-179
47923,-2,28,-282
47924,-14,-24,-284
47925,-82,-91,-154
47926,-30,-155,-249
47927,30,-69,-293
47928,22,18,-230
47929,-36,-6,-188
47930,-32,2,-234
47931,22,18,-323
47932,-60,-53,-276
47933,-69,-174,-138
47934,3,-110,-211
47935,53,14,-323
47936,-34,55,-189
47937,-15,10,-214
47938,40,7,-327
47939,23,6,-263
47940,-32,-99,-176
47941,-26,-94,-269
47942,-64,70,-283
47943,-94,94,-166
47944,-33,-47,-231
47945,37,-46,-314
47946,30,23,-261
47947,-8,-54,-190
47948,-16,-67,-230
47949,-1,5,-310
47950,-42,19,-226
47951,37,8,-284
47952,89,-5,-347
47953,-27,-86,-157
47954,-44,-113,-174
47955,28,-43,-293
47956,7,24,-226
47957,8,-26,-175
47958,81,-27,-321
47959,48,5,-239
47960,-34,-19,-128
47961,-1,-67,-239
47962,51,19,-281
47963,-11,78,-188
47964,5,36,-210
47965,18,10,-298
47966,42,44,-226
47967,-29,-13,-173
47968,-9,-35,-243
47969,-13,73,-265
47970,-83,39,-197
47971,-60,-8,-240
47972,8,51,-285
47973,-23,27,-209
47974,-53,-69,-230
47975,41,-16,-296
47976,-39,4,-177
47977,-45,-38,-204
47978,8,27,-317
47979,-57,30,-285
47980,-40,-71,-240
47981,45,22,-321
47982,60,51,-248
47983,-10,-17,-149
47984,28,-9,-317
47985,10,38,-273
47986,-88,15,-140
47987,-20,-29,-274
47988,48,39,-288
47989,-8,69,-146
47990,-30,53,-266
47991,21,41,-357
47992,-32,37,-219
47993,-40,-47,-172
47994,22,-101,-244
47995,52,7,-211
47996,-25,46,-183
47997,9,5,-213
47998,41,13,-269
47999,-4,-8,-236
48000,-81,-128,-223
48001,30,-113,-283
48002,41,0,-254
48003,-35,-15,-156
48004,-6,13,-236
48005,3,99,-318
48006,-51,5,-187
48007,-26,-79,-266
48008,48,-71,-353
48009,-53,-31,-197
48010,-19,-23,-171
48011,23,57,-322
48012,-37,50,-238
48013,-51,-29,-184
48014,36,-71,-341
48015,9,-62,-238
48016,-76,-54,-170
48017,-42,-7,-286
48018,-1,76,-264
48019,-40,11,-143
48020,-16,-86,-248
48021,40,-62,-323
48022,53,7,-217
48023,-21,-68,-163
48024,-2,-85,-237
48025,50,18,-286
48026,-15,44,-237
48027,-10,-75,-218
48028,58,-77,-304
48029,-13,-26,-283
48030,-76,-40,-173
48031,-8,-24,-233
48032,55,34,-302
48033,-11,26,-160
48034,11,-81,-216
48035,53,-45,-304
48036,-17,-31,-164
48037,-64,-29,-214
48038,9,29,-326
48039,-12,114,-232
48040,-31,-4,-235
48041,21,-44,-323
48042,-3,26,-254
48043,-35,-22,-173
48044,-31,-1,-256
48045,-15,60,-270
48046,-69,86,-197
48047,-65,-3,-233
48048,7,23,-307
48049,-18,32,-269
48050,-94,-34,-180
48051,-5,14,-295
48052,63,119,-306
48053,-59,48,-181
48054,-51,-39,-233
48055,4,8,-286
48056,-72,2,-182
48057,5,-47,-177
48058,62,59,-316
48059,-21,60,-240
48060,-32,12,-225
48061,25,1,-329
48062,-43,15,-216
48063,7,-17,-175
48064,79,62,-345
48065,-10,90,-260
48066,-32,10,-217
48067,33,28,-312
48068,-9,13,-222
48069,25,-65,-225
48070,82,-27,-357
48071,-26,54,-187
48072,-3,36,-172
48073,46,-5,-310
48074,-10,-18,-242
48075,-89,-120,-195
48076,46,-118,-304
48077,46,23,-262
48078,-2,-15,-175
48079,35,2,-318
48080,-1,69,-224
48081,-82,-11,-136
48082,-36,-128,-260
48083,15,-61,-292
48084,-45,-19,-176
